flight_number,date_utc,rocket,success,payloads,launchpad
1,2006-03-24T22:30:00.000Z,5e9d0d95eda69955f709d1eb,False,['5eb0e4b5b6c3bb0006eeb1e1'],5e9e4502f5090995de566f86
2,2007-03-21T01:10:00.000Z,5e9d0d95eda69955f709d1eb,False,['5eb0e4b6b6c3bb0006eeb1e2'],5e9e4502f5090995de566f86
3,2008-08-03T03:34:00.000Z,5e9d0d95eda69955f709d1eb,False,"['5eb0e4b6b6c3bb0006eeb1e3', '5eb0e4b6b6c3bb0006eeb1e4']",5e9e4502f5090995de566f86
4,2008-09-28T23:15:00.000Z,5e9d0d95eda69955f709d1eb,True,['5eb0e4b7b6c3bb0006eeb1e5'],5e9e4502f5090995de566f86
5,2009-07-13T03:35:00.000Z,5e9d0d95eda69955f709d1eb,True,['5eb0e4b7b6c3bb0006eeb1e6'],5e9e4502f5090995de566f86
6,2010-06-04T18:45:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4b7b6c3bb0006eeb1e7'],5e9e4501f509094ba4566f84
7,2010-12-08T15:43:00.000Z,5e9d0d95eda69973a809d1ec,True,"['5eb0e4b9b6c3bb0006eeb1e8', '5eb0e4b9b6c3bb0006eeb1e9']",5e9e4501f509094ba4566f84
8,2012-05-22T07:44:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4bab6c3bb0006eeb1ea'],5e9e4501f509094ba4566f84
9,2012-10-08T00:35:00.000Z,5e9d0d95eda69973a809d1ec,True,"['5eb0e4bab6c3bb0006eeb1eb', '5eb0e4bab6c3bb0006eeb1ec']",5e9e4501f509094ba4566f84
10,2013-03-01T19:10:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4bbb6c3bb0006eeb1ed'],5e9e4501f509094ba4566f84
11,2013-09-29T16:00:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4bbb6c3bb0006eeb1ee'],5e9e4502f509092b78566f87
12,2013-12-03T22:41:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4bbb6c3bb0006eeb1ef'],5e9e4501f509094ba4566f84
13,2014-01-06T18:06:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4bbb6c3bb0006eeb1f0'],5e9e4501f509094ba4566f84
14,2014-04-18T19:25:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4bbb6c3bb0006eeb1f1'],5e9e4501f509094ba4566f84
15,2014-07-14T15:15:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4bcb6c3bb0006eeb1f2'],5e9e4501f509094ba4566f84
16,2014-08-05T08:00:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4bcb6c3bb0006eeb1f3'],5e9e4501f509094ba4566f84
17,2014-09-07T05:00:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4bcb6c3bb0006eeb1f4'],5e9e4501f509094ba4566f84
18,2014-09-21T05:52:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4bcb6c3bb0006eeb1f5'],5e9e4501f509094ba4566f84
19,2015-01-10T09:47:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4bdb6c3bb0006eeb1f6'],5e9e4501f509094ba4566f84
20,2015-02-11T23:03:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4bdb6c3bb0006eeb1f7'],5e9e4501f509094ba4566f84
21,2015-03-02T03:50:00.000Z,5e9d0d95eda69973a809d1ec,True,"['5eb0e4bdb6c3bb0006eeb1f8', '5eb0e4bdb6c3bb0006eeb1f9']",5e9e4501f509094ba4566f84
22,2015-04-14T20:10:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4bdb6c3bb0006eeb1fa'],5e9e4501f509094ba4566f84
23,2015-04-27T23:03:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4beb6c3bb0006eeb1fb'],5e9e4501f509094ba4566f84
24,2015-06-28T14:21:00.000Z,5e9d0d95eda69973a809d1ec,False,['5eb0e4beb6c3bb0006eeb1fc'],5e9e4501f509094ba4566f84
25,2015-12-22T01:29:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4beb6c3bb0006eeb1fd'],5e9e4501f509094ba4566f84
26,2016-01-17T15:42:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4beb6c3bb0006eeb1fe'],5e9e4502f509092b78566f87
27,2016-03-04T23:35:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4beb6c3bb0006eeb1ff'],5e9e4501f509094ba4566f84
28,2016-04-08T20:43:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4bfb6c3bb0006eeb200'],5e9e4501f509094ba4566f84
29,2016-05-06T05:21:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4bfb6c3bb0006eeb201'],5e9e4501f509094ba4566f84
30,2016-05-27T21:39:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4bfb6c3bb0006eeb202'],5e9e4501f509094ba4566f84
31,2016-06-15T14:29:00.000Z,5e9d0d95eda69973a809d1ec,True,"['5eb0e4bfb6c3bb0006eeb203', '5eb0e4bfb6c3bb0006eeb204']",5e9e4501f509094ba4566f84
32,2016-07-18T04:45:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c0b6c3bb0006eeb205'],5e9e4501f509094ba4566f84
33,2016-08-14T05:26:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c1b6c3bb0006eeb206'],5e9e4501f509094ba4566f84
34,2016-09-01T13:07:00.000Z,5e9d0d95eda69973a809d1ec,False,['5eb0e4c1b6c3bb0006eeb207'],5e9e4501f509094ba4566f84
35,2017-01-14T17:54:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c2b6c3bb0006eeb208'],5e9e4502f509092b78566f87
36,2017-02-19T14:39:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c3b6c3bb0006eeb209'],5e9e4502f509094188566f88
37,2017-03-16T06:00:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c3b6c3bb0006eeb20a'],5e9e4502f509094188566f88
38,2017-03-30T22:27:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c3b6c3bb0006eeb20b'],5e9e4502f509094188566f88
39,2017-05-01T11:15:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c3b6c3bb0006eeb20c'],5e9e4502f509094188566f88
40,2017-05-15T23:21:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c3b6c3bb0006eeb20d'],5e9e4502f509094188566f88
41,2017-06-03T21:07:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c4b6c3bb0006eeb20e'],5e9e4502f509094188566f88
42,2017-06-23T19:10:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c4b6c3bb0006eeb20f'],5e9e4502f509094188566f88
43,2017-06-25T20:25:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c4b6c3bb0006eeb210'],5e9e4502f509092b78566f87
44,2017-07-05T23:35:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c4b6c3bb0006eeb211'],5e9e4502f509094188566f88
45,2017-08-14T16:31:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c4b6c3bb0006eeb212'],5e9e4502f509094188566f88
46,2017-08-24T18:50:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c4b6c3bb0006eeb213'],5e9e4502f509092b78566f87
47,2017-09-07T13:50:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c5b6c3bb0006eeb214'],5e9e4502f509094188566f88
48,2017-10-09T12:37:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c5b6c3bb0006eeb215'],5e9e4502f509092b78566f87
49,2017-10-11T22:53:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c5b6c3bb0006eeb216'],5e9e4502f509094188566f88
50,2017-10-30T19:34:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c5b6c3bb0006eeb217'],5e9e4502f509094188566f88
51,2017-12-15T15:36:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c5b6c3bb0006eeb218'],5e9e4501f509094ba4566f84
52,2017-12-23T01:27:23.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c6b6c3bb0006eeb219'],5e9e4502f509092b78566f87
53,2018-01-08T01:00:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c6b6c3bb0006eeb21a'],5e9e4501f509094ba4566f84
54,2018-01-31T21:25:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c6b6c3bb0006eeb21b'],5e9e4501f509094ba4566f84
55,2018-02-06T20:45:00.000Z,5e9d0d95eda69974db09d1ed,True,['5eb0e4c6b6c3bb0006eeb21c'],5e9e4502f509094188566f88
56,2018-02-22T14:17:00.000Z,5e9d0d95eda69973a809d1ec,True,"['5eb0e4c6b6c3bb0006eeb21d', '5eb0e4c6b6c3bb0006eeb21e']",5e9e4502f509092b78566f87
57,2018-03-06T05:33:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c7b6c3bb0006eeb21f'],5e9e4501f509094ba4566f84
58,2018-03-30T14:13:51.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c7b6c3bb0006eeb220'],5e9e4502f509092b78566f87
59,2018-04-02T20:30:41.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c7b6c3bb0006eeb221'],5e9e4501f509094ba4566f84
60,2018-04-18T22:51:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c7b6c3bb0006eeb222'],5e9e4501f509094ba4566f84
61,2018-05-11T20:14:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c7b6c3bb0006eeb223'],5e9e4502f509094188566f88
62,2018-05-22T19:47:58.000Z,5e9d0d95eda69973a809d1ec,True,"['5eb0e4c7b6c3bb0006eeb224', '5eb0e4c8b6c3bb0006eeb225']",5e9e4502f509092b78566f87
63,2018-06-04T04:45:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c8b6c3bb0006eeb226'],5e9e4501f509094ba4566f84
64,2018-06-29T09:42:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c8b6c3bb0006eeb227'],5e9e4501f509094ba4566f84
65,2018-07-22T05:50:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c8b6c3bb0006eeb228'],5e9e4501f509094ba4566f84
66,2018-07-25T11:39:26.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c9b6c3bb0006eeb229'],5e9e4502f509092b78566f87
67,2018-08-07T05:18:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c9b6c3bb0006eeb22a'],5e9e4501f509094ba4566f84
68,2018-09-10T04:45:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c9b6c3bb0006eeb22b'],5e9e4501f509094ba4566f84
69,2018-10-08T02:22:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c9b6c3bb0006eeb22c'],5e9e4502f509092b78566f87
70,2018-11-15T20:46:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c9b6c3bb0006eeb22d'],5e9e4502f509094188566f88
71,2018-12-03T18:34:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c9b6c3bb0006eeb22e'],5e9e4502f509092b78566f87
72,2018-12-05T18:16:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4cab6c3bb0006eeb22f'],5e9e4501f509094ba4566f84
73,2018-12-23T13:51:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4cab6c3bb0006eeb230'],5e9e4501f509094ba4566f84
74,2019-01-11T15:31:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4cab6c3bb0006eeb231'],5e9e4502f509092b78566f87
75,2019-02-22T01:45:00.000Z,5e9d0d95eda69973a809d1ec,True,"['5eb0e4cab6c3bb0006eeb232', '5eb0e4cab6c3bb0006eeb233', '5eb0e4cab6c3bb0006eeb234']",5e9e4501f509094ba4566f84
76,2019-03-02T07:45:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4cbb6c3bb0006eeb235'],5e9e4502f509094188566f88
77,2019-04-11T22:35:00.000Z,5e9d0d95eda69974db09d1ed,True,['5eb0e4cbb6c3bb0006eeb236'],5e9e4502f509094188566f88
78,2019-05-04T06:48:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4cbb6c3bb0006eeb237'],5e9e4501f509094ba4566f84
79,2019-05-24T02:30:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4cbb6c3bb0006eeb238'],5e9e4501f509094ba4566f84
80,2019-06-12T14:17:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4ccb6c3bb0006eeb239'],5e9e4502f509092b78566f87
81,2019-06-25T03:30:00.000Z,5e9d0d95eda69974db09d1ed,True,"['5eb0e4ccb6c3bb0006eeb23a', '5eb0e4ccb6c3bb0006eeb23b', '5eb0e4ccb6c3bb0006eeb23c', '5eb0e4ccb6c3bb0006eeb23d', '5eb0e4ccb6c3bb0006eeb23e', '5eb0e4cdb6c3bb0006eeb23f', '5eb0e4cdb6c3bb0006eeb240', '5eb0e4cdb6c3bb0006eeb241', '5eb0e4cdb6c3bb0006eeb242', '5eb0e4cdb6c3bb0006eeb243', '5eb0e4cdb6c3bb0006eeb244', '5eb0e4cdb6c3bb0006eeb245', '5eb0e4ceb6c3bb0006eeb246', '5eb0e4ceb6c3bb0006eeb247', '5eb0e4ceb6c3bb0006eeb248', '5eb0e4ceb6c3bb0006eeb249']",5e9e4502f509094188566f88
82,2019-07-25T22:01:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4ceb6c3bb0006eeb24a'],5e9e4501f509094ba4566f84
83,2019-08-06T22:52:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4cfb6c3bb0006eeb24b'],5e9e4501f509094ba4566f84
84,2019-11-11T14:56:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4cfb6c3bb0006eeb24c'],5e9e4501f509094ba4566f84
85,2019-12-05T17:29:23.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4cfb6c3bb0006eeb24d'],5e9e4501f509094ba4566f84
86,2019-12-17T00:10:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4cfb6c3bb0006eeb24e'],5e9e4501f509094ba4566f84
87,2020-01-07T02:19:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4cfb6c3bb0006eeb24f'],5e9e4501f509094ba4566f84
88,2020-01-19T14:00:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4d0b6c3bb0006eeb250'],5e9e4502f509094188566f88
89,2020-01-29T14:06:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4d0b6c3bb0006eeb251'],5e9e4501f509094ba4566f84
90,2020-02-17T15:05:55.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4d0b6c3bb0006eeb252'],5e9e4501f509094ba4566f84
